Date,Close
3/17/2021 16:00:00,133.41
3/18/2021 16:00:00,127.23
3/19/2021 16:00:00,128.46
3/22/2021 16:00:00,131.86
3/23/2021 16:00:00,130.71
3/24/2021 16:00:00,126.43
3/25/2021 16:00:00,125.35
3/26/2021 16:00:00,128.39
3/29/2021 16:00:00,129.48
3/30/2021 16:00:00,128.72
3/31/2021 16:00:00,133.48
4/1/2021 16:00:00,138.12
4/5/2021 16:00:00,139.88
4/6/2021 16:00:00,138.62
4/7/2021 16:00:00,141.44
4/8/2021 16:00:00,143.17
4/9/2021 16:00:00,144
4/12/2021 16:00:00,152.09
4/13/2021 16:00:00,156.79
4/14/2021 16:00:00,152.77
4/15/2021 16:00:00,161.37
4/16/2021 16:00:00,159.13
4/19/2021 16:00:00,153.62
4/20/2021 16:00:00,151.71
4/21/2021 16:00:00,153.6
4/22/2021 16:00:00,148.5
4/23/2021 16:00:00,152.65
4/26/2021 16:00:00,154.78
4/27/2021 16:00:00,153.82
4/28/2021 16:00:00,152.77
4/29/2021 16:00:00,153.25
4/30/2021 16:00:00,150.1
5/3/2021 16:00:00,148.37
5/4/2021 16:00:00,143.51
5/5/2021 16:00:00,144.59
5/6/2021 16:00:00,145.23
5/7/2021 16:00:00,148.12
5/10/2021 16:00:00,142.66
5/11/2021 16:00:00,143.06
5/12/2021 16:00:00,137.59
5/13/2021 16:00:00,136.65
5/14/2021 16:00:00,142.43
5/17/2021 16:00:00,141.66
5/18/2021 16:00:00,140.16
5/19/2021 16:00:00,140.66
5/20/2021 16:00:00,146.13
5/21/2021 16:00:00,149.92
5/24/2021 16:00:00,156.12
5/25/2021 16:00:00,156.48
5/26/2021 16:00:00,157
5/27/2021 16:00:00,154.88
5/28/2021 16:00:00,162.45
6/1/2021 16:00:00,162.65
6/2/2021 16:00:00,167.78
6/3/2021 16:00:00,169.7
6/4/2021 16:00:00,175.78
6/7/2021 16:00:00,176.19
6/8/2021 16:00:00,174.57
6/9/2021 16:00:00,173.58
6/10/2021 16:00:00,174.25
6/11/2021 16:00:00,178.25
6/14/2021 16:00:00,180.19
6/15/2021 16:00:00,177.89
6/16/2021 16:00:00,178.1
6/17/2021 16:00:00,186.57
6/18/2021 16:00:00,186.39
6/21/2021 16:00:00,184.27
6/22/2021 16:00:00,188.87
6/23/2021 16:00:00,190.57
6/24/2021 16:00:00,192.06
6/25/2021 16:00:00,190.31
6/28/2021 16:00:00,199.85
6/29/2021 16:00:00,200.27
6/30/2021 16:00:00,200.03
7/1/2021 16:00:00,202.12
7/2/2021 16:00:00,204.87
7/6/2021 16:00:00,206.99
7/7/2021 16:00:00,203.72
7/8/2021 16:00:00,199.03
7/9/2021 16:00:00,200.5
7/12/2021 16:00:00,205.13
7/13/2021 16:00:00,202.5
7/14/2021 16:00:00,198.42
7/15/2021 16:00:00,189.66
7/16/2021 16:00:00,181.61
7/19/2021 16:00:00,187.8
7/20/2021 16:00:00,186.12
7/21/2021 16:00:00,194.1
7/22/2021 16:00:00,195.94
7/23/2021 16:00:00,195.58
7/26/2021 16:00:00,192.94
7/27/2021 16:00:00,192.08
7/28/2021 16:00:00,195.03
7/29/2021 16:00:00,196.62
7/30/2021 16:00:00,194.99
8/2/2021 16:00:00,197.5
8/3/2021 16:00:00,198.15
