Date,Close
3/17/2021 16:00:00,65.78
3/18/2021 16:00:00,63.73
3/19/2021 16:00:00,63.76
3/22/2021 16:00:00,65.63
3/23/2021 16:00:00,63.48
3/24/2021 16:00:00,62.04
3/25/2021 16:00:00,62.02
3/26/2021 16:00:00,64.87
3/29/2021 16:00:00,64.5
3/30/2021 16:00:00,63.77
3/31/2021 16:00:00,64
4/1/2021 16:00:00,64.55
4/5/2021 16:00:00,66.54
4/6/2021 16:00:00,65.56
4/7/2021 16:00:00,66.25
4/8/2021 16:00:00,67.05
4/9/2021 16:00:00,68.26
4/12/2021 16:00:00,65.41
4/13/2021 16:00:00,65.22
4/14/2021 16:00:00,64.19
4/15/2021 16:00:00,65.02
4/16/2021 16:00:00,64.75
4/19/2021 16:00:00,63.63
4/20/2021 16:00:00,62.7
4/21/2021 16:00:00,63.7
4/22/2021 16:00:00,62.57
4/23/2021 16:00:00,59.24
4/26/2021 16:00:00,58.76
4/27/2021 16:00:00,57.97
4/28/2021 16:00:00,57.62
4/29/2021 16:00:00,58.28
4/30/2021 16:00:00,57.53
5/3/2021 16:00:00,57.26
5/4/2021 16:00:00,56.9
5/5/2021 16:00:00,56.85
5/6/2021 16:00:00,57.19
5/7/2021 16:00:00,57.67
5/10/2021 16:00:00,55.97
5/11/2021 16:00:00,55.04
5/12/2021 16:00:00,53.62
5/13/2021 16:00:00,54.01
5/14/2021 16:00:00,55.35
5/17/2021 16:00:00,55.33
5/18/2021 16:00:00,54.84
5/19/2021 16:00:00,55.36
5/20/2021 16:00:00,55.95
5/21/2021 16:00:00,56.08
5/24/2021 16:00:00,56.96
5/25/2021 16:00:00,56.87
5/26/2021 16:00:00,56.92
5/27/2021 16:00:00,57.73
5/28/2021 16:00:00,57.12
6/1/2021 16:00:00,56.89
6/2/2021 16:00:00,57.48
6/3/2021 16:00:00,56.24
6/4/2021 16:00:00,57.37
6/7/2021 16:00:00,57.09
6/8/2021 16:00:00,57
6/9/2021 16:00:00,57
6/10/2021 16:00:00,57.38
6/11/2021 16:00:00,57.85
6/14/2021 16:00:00,58.19
6/15/2021 16:00:00,57.99
6/16/2021 16:00:00,57.22
6/17/2021 16:00:00,57.18
6/18/2021 16:00:00,55.67
6/21/2021 16:00:00,55.87
6/22/2021 16:00:00,55.87
6/23/2021 16:00:00,55.26
6/24/2021 16:00:00,56.07
6/25/2021 16:00:00,55.91
6/28/2021 16:00:00,57.48
6/29/2021 16:00:00,56.75
6/30/2021 16:00:00,56.14
7/1/2021 16:00:00,56.01
7/2/2021 16:00:00,56.76
7/6/2021 16:00:00,56.09
7/7/2021 16:00:00,55.96
7/8/2021 16:00:00,55.39
7/9/2021 16:00:00,55.99
7/12/2021 16:00:00,56.73
7/13/2021 16:00:00,56.87
7/14/2021 16:00:00,56.52
7/15/2021 16:00:00,55.81
7/16/2021 16:00:00,54.97
7/19/2021 16:00:00,54.64
7/20/2021 16:00:00,55.24
7/21/2021 16:00:00,56.23
7/22/2021 16:00:00,55.96
7/23/2021 16:00:00,53
7/26/2021 16:00:00,54.31
7/27/2021 16:00:00,53.18
7/28/2021 16:00:00,53.07
7/29/2021 16:00:00,53.7
7/30/2021 16:00:00,53.72
8/2/2021 16:00:00,53.68
8/3/2021 16:00:00,54.06
8/4/2021 16:00:00,53.9
8/5/2021 16:00:00,53.89
8/6/2021 16:00:00,53.92
8/9/2021 16:00:00,54.05
8/10/2021 16:00:00,53.94
8/11/2021 16:00:00,54.14
8/12/2021 16:00:00,53.54
8/13/2021 16:00:00,53.49
8/16/2021 16:00:00,53.47
8/17/2021 16:00:00,52.69
8/18/2021 16:00:00,52.19
