Date,Close
3/17/2021 16:00:00,133.92
3/18/2021 16:00:00,129.75
3/19/2021 16:00:00,131.02
3/22/2021 16:00:00,134.09
3/23/2021 16:00:00,132.52
3/24/2021 16:00:00,127.18
3/25/2021 16:00:00,127.28
3/26/2021 16:00:00,132.99
3/29/2021 16:00:00,131.27
3/30/2021 16:00:00,130.11
3/31/2021 16:00:00,132.59
4/1/2021 16:00:00,137.79
4/5/2021 16:00:00,140.33
4/6/2021 16:00:00,138.06
4/7/2021 16:00:00,139.43
4/8/2021 16:00:00,140.34
4/9/2021 16:00:00,140.57
4/12/2021 16:00:00,137.44
4/13/2021 16:00:00,137.3
4/14/2021 16:00:00,134.75
4/15/2021 16:00:00,137.84
4/16/2021 16:00:00,138.21
4/19/2021 16:00:00,135.25
4/20/2021 16:00:00,133.4
4/21/2021 16:00:00,136.19
4/22/2021 16:00:00,132.97
4/23/2021 16:00:00,135.43
4/26/2021 16:00:00,138.96
4/27/2021 16:00:00,138.01
4/28/2021 16:00:00,136.57
4/29/2021 16:00:00,142.68
4/30/2021 16:00:00,138.8
5/3/2021 16:00:00,137.43
5/4/2021 16:00:00,134.12
5/5/2021 16:00:00,134.65
5/6/2021 16:00:00,136
5/7/2021 16:00:00,137.85
5/10/2021 16:00:00,128.94
5/11/2021 16:00:00,128.37
5/12/2021 16:00:00,124.62
5/13/2021 16:00:00,127.11
5/14/2021 16:00:00,130.15
5/17/2021 16:00:00,129.8
5/18/2021 16:00:00,128.91
5/19/2021 16:00:00,130.66
5/20/2021 16:00:00,132.64
5/21/2021 16:00:00,131.46
5/24/2021 16:00:00,132.91
5/25/2021 16:00:00,133.75
5/26/2021 16:00:00,133.09
5/27/2021 16:00:00,133.64
5/28/2021 16:00:00,134.54
6/1/2021 16:00:00,133.94
6/2/2021 16:00:00,133.82
6/3/2021 16:00:00,131.78
6/4/2021 16:00:00,134.34
6/7/2021 16:00:00,133.32
6/8/2021 16:00:00,134.2
6/9/2021 16:00:00,132.89
6/10/2021 16:00:00,134.22
6/11/2021 16:00:00,134.62
6/14/2021 16:00:00,137.31
6/15/2021 16:00:00,135.58
6/16/2021 16:00:00,134.95
6/17/2021 16:00:00,135.35
6/18/2021 16:00:00,133
6/21/2021 16:00:00,133.96
6/22/2021 16:00:00,135.08
6/23/2021 16:00:00,135.52
6/24/2021 16:00:00,137.92
