Date,Weighted Returns,S&P TSX
2012-10-02,-0.0012413163741761492,0.0017008631233634288
2012-10-03,-0.011759542882591135,-0.002563103097916851
2012-10-04,0.015904229316445907,0.007137037429598595
2012-10-05,-0.002738635111872002,-0.0023048471683077094
2012-10-09,-0.010915203798629626,-0.011709486842327763
2012-10-10,-0.01851233007067801,-0.0049822504780597365
2012-10-11,0.0038806760151441026,0.001762959347942558
2012-10-12,-0.03325312022902891,-0.002608315384646811
2012-10-15,0.008221283343055764,0.002288141982815845
2012-10-16,0.01683992247720947,0.014533162823100125
2012-10-17,0.001146387467261767,0.004315868372059227
2012-10-18,-0.018687013680700162,0.0003908115156987301
2012-10-19,-0.05816818725126858,-0.004022101503916313
2012-10-22,-0.007166016210328152,-0.0010019346036316658
2012-10-23,0.008821986222842582,-0.014326555160865423
2012-10-24,-0.01481009403876521,-0.0025208901801430173
2012-10-25,0.011880772310720268,0.008627292124162087
2012-10-26,0.0014358252672742602,5.690950494397988e-06
2012-10-31,-0.012363157913458413,0.0037052447877321806
2012-11-01,0.03736204783155661,0.006186151231877263
2012-11-02,-0.011321424558151638,-0.009548183325119872
2012-11-05,0.013803951227565548,-0.0022317516140417967
2012-11-06,-1.6463405543687107e-05,0.000681627941240763
2012-11-07,-0.03443514407204917,-0.010566126266058358
2012-11-08,0.0055878171222840224,-0.003232877563551789
2012-11-09,-0.001804482468662138,0.0004716574864347206
2012-11-12,-0.00804292913774758,-0.00043781975600158614
2012-11-13,0.003681231051257794,-0.004658999004220928
2012-11-14,-0.025986579627547624,-0.01688304410671572
2012-11-15,-0.011005113455093963,-0.009925572872615668
2012-11-16,-0.0027212616825224244,0.005616617194603861
2012-11-19,0.017546969681426727,0.013696231263239099
2012-11-20,-0.014372497431639087,0.0004883558685758794
2012-11-21,0.003731231253336231,0.004464448775887563
2012-11-23,0.021261369751914838,0.004948531650360765
2012-11-26,-0.002231834336583582,-0.0023081508264801566
2012-11-27,0.0018657143638955323,-0.006025416391397661
2012-11-28,0.015921885444308972,0.002369623246416934
2012-11-29,0.004039194497371202,0.0051497776419586975
2012-11-30,0.015619404332643772,0.00299192401774997
